latitude,longitude,azimuth,altitude,declination,stars,
46.1781202,20.25379155,71.93952806,0.1,12.46968302,,
46.17778814,20.2514494,331.5197208,0.13,37.60846748,,
46.17819135,20.25311074,40.21153345,0.12,32.02477845, 66Alp Gem,
46.17799864,20.25198034,342.3392713,0.11,41.38918131,,
49.1018917,48.40666424,77.91897304,1.69,9.164010759, 53Alp Aql,yay:)
